1_Grade,A,B,C,D,E,U
A,1.0,0.0,0.0,0.0,0.0,0.0
B,0.0,0.35294117647058826,0.5294117647058824,0.11764705882352941,0.0,0.0
C,0.0,0.14285714285714285,0.14285714285714285,0.7142857142857143,0.0,0.0
D,0.0,0.0,0.2222222222222222,0.3333333333333333,0.2222222222222222,0.2222222222222222
E,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.42857142857142855
U,0.0,0.0,0.0,0.0,0.0,0.0
