output,employment,unemployment,vacancies,inflation,interest_rate,separation_threshold,consumption
-0.8453103187642705,0.0,0.844719131251091,0.15166050578458498,0.024571821063709587,0.0,0.545103792271135,-0.8147076212
-0.845312276545636,-0.6245005394311942,0.8455700921283614,0.15166669798711027,0.02055232380404637,0.0,0.545103792271135,-0.8147076212
-0.845312602064669,-0.6252403184591484,0.8455711001707423,0.15166669798711027,0.016523433410185362,0.0,0.545103792271135,-0.8147076212
-0.8453129094808683,-0.625241199703963,0.8455711013715497,0.15166669798711027,0.012786248824638413,0.0,0.545103792271135,-0.8147076212
-0.8453132015240825,-0.6252412007537257,0.8455711013729801,0.15166669798711027,0.009561017893448875,0.0,0.545103792271135,-0.8147076212
-0.8453134789651334,-0.6252412007549761,0.8455711013729819,0.15166669798711027,0.0069468491244077946,0.0,0.545103792271135,-0.8147076212
-0.8453137425341317,-0.6252412007549777,0.8455711013729819,0.15166669798711027,0.00493390560052398,0.0,0.545103792271135,-0.8147076212
-0.8453139929246801,-0.6252412007549777,0.8455711013729819,0.15166669798711027,0.0034444504698083467,0.0,0.545103792271135,-0.8147076212
-0.8453142307957011,-0.6252412007549777,0.8455711013729819,0.15166669798711027,0.0023746038163026117,0.0,0.545103792271135,-0.8147076212
-0.845314456773171,-0.6252412007549777,0.8455711013729819,0.15166669798711027,0.0016224783989340352,0.0,0.545103792271135,-0.8147076212
-0.8453146714517674,-0.6252412007549777,0.8455711013729819,0.15166669798711027,0.0011016777646362108,0.0,0.545103792271135,-0.8147076212
-0.845314875396434,-0.6252412007549777,0.8455711013729819,0.15166669798711027,0.0007448363883828524,0.0,0.545103792271135,-0.8147076212
-0.8453150691438673,-0.6252412007549777,0.8455711013729819,0.15166669798711027,0.000502100167222741,0.0,0.545103792271135,-0.8147076212
-0.8454328284406761,-0.6252412007549777,0.8456602236791005,0.15169564602156346,-0.0032451190110722727,0.0,0.5615836697332064,-0.8147076212
-0.8454329733734546,-0.6252998664183108,0.8456602870076025,0.15169564602156346,-0.002117872537563681,0.0,0.5615836697332064,-0.8147076212
-0.8454331109648993,-0.6252999217809181,0.8456602870673654,0.15169564602156346,-0.0013947677217344134,0.0,0.5615836697332064,-0.8147076212
-0.8454332416766823,-0.6252999218331636,0.8456602870674218,0.15169564602156346,-0.0009239382790717787,0.0,0.5615836697332064,-0.8147076212
-0.8454333658528761,-0.625299921833213,0.8456602870674219,0.15169564602156346,-0.0006143899623545224,0.0,0.5615836697332064,-0.8147076212
-0.8454334838202603,-0.625299921833213,0.8456602870674219,0.15169564602156346,-0.0004095808758355357,0.0,0.5615836697332064,-0.8147076212
-0.8454335958892752,-0.625299921833213,0.8456602870674219,0.15169564602156346,-0.0002735020838721125,0.0,0.5615836697332064,-0.8147076212
-0.8454337023548394,-0.625299921833213,0.8456602870674219,0.15169564602156346,-0.00018283703224575287,0.0,0.5615836697332064,-0.8147076212
-0.8454338034971254,-0.625299921833213,0.8456602870674219,0.15169564602156346,-0.00012231774190607503,0.0,0.5615836697332064,-0.8147076212
-0.8454338995822971,-0.625299921833213,0.8456602870674219,0.15169564602156346,-8.187091474043395e-05,0.0,0.5615836697332064,-0.8147076212
-0.8454339908632101,-0.625299921833213,0.8456602870674219,0.15169564602156346,-5.481677774532567e-05,0.0,0.5615836697332064,-0.8147076212
-0.8454340775800776,-0.625299921833213,0.8456602870674219,0.15169564602156346,-3.671076937106221e-05,0.0,0.5615836697332064,-0.8147076212
-0.8454341599611017,-0.625299921833213,0.8456602870674219,0.15169564602156346,-2.458882693501252e-05,0.0,0.5615836697332064,-0.8147076212
-0.8454342382230746,-0.625299921833213,0.8456602870674219,0.15169564602156346,-1.647119901515559e-05,0.0,0.5615836697332064,-0.8147076212
-0.8454343125719488,-0.625299921833213,0.8456602870674219,0.15169564602156346,-1.1034215729233132e-05,0.0,0.5615836697332064,-0.8147076212
-0.8454343832033793,-0.625299921833213,0.8456602870674219,0.15169564602156346,-7.392256902494232e-06,0.0,0.5615836697332064,-0.8147076212
-0.8454344503032383,-0.625299921833213,0.8456602870674219,0.15169564602156346,-4.952512468570092e-06,0.0,0.5615836697332064,-0.8147076212
-0.8454345140481043,-0.625299921833213,0.8456602870674219,0.15169564602156346,-3.318048852118949e-06,0.0,0.5615836697332064,-0.8147076212
-0.8454345746057271,-0.625299921833213,0.8456602870674219,0.15169564602156346,-2.2230323571958976e-06,0.0,0.5615836697332064,-0.8147076212
-0.8454346321354687,-0.625299921833213,0.8456602870674219,0.15169564602156346,-1.4894045788915733e-06,0.0,0.5615836697332064,-0.8147076212
-0.8454346867887232,-0.625299921833213,0.8456602870674219,0.15169564602156346,-9.978889027317805e-07,0.0,0.5615836697332064,-0.8147076212
-0.845434738709315,-0.625299921833213,0.8456602870674219,0.15169564602156346,-6.685801039463257e-07,0.0,0.5615836697332064,-0.8147076212
-0.8454347880338772,-0.625299921833213,0.8456602870674219,0.15169564602156346,-4.47946218451456e-07,0.0,0.5615836697332064,-0.8147076212
-0.8454348348922113,-0.625299921833213,0.8456602870674219,0.15169564602156346,-3.0012286589276016e-07,0.0,0.5615836697332064,-0.8147076212
-0.8454348794076287,-0.625299921833213,0.8456602870674219,0.15169564602156346,-2.0108182618994164e-07,0.0,0.5615836697332064,-0.8147076212
-0.8454349216972752,-0.625299921833213,0.8456602870674219,0.15169564602156346,-1.347246019189896e-07,0.0,0.5615836697332064,-0.8147076212
-0.8454349618724394,-0.625299921833213,0.8456602870674219,0.15169564602156346,-9.026538383416494e-08,0.0,0.5615836697332064,-0.8147076212
