output,employment,unemployment,vacancies,inflation,interest_rate,separation_threshold,consumption
-0.8455477676219748,0.0,0.8451878655503458,0.15171375106161192,0.024479167918010747,0.010212335692618701,0.5771995099795268,-0.8147076212
-0.845548441173951,-0.6248748983895278,0.8457277404776928,0.1517176761441206,0.020455807202506282,0.0074550050556116965,0.5771995099795268,-0.8147076212
-0.8455484416826818,-0.6253442436757846,0.8457281459792628,0.1517176761441206,0.01643051912807114,0.0054421536905964185,0.5771995099795268,-0.8147076212
-0.845435725276156,-0.6253445981702729,0.8456603352947041,0.15169564602156346,0.010196545575180016,0.003972772194135388,0.5615836697332064,-0.8147076212
-0.8454357252006305,-0.6252999639941361,0.8456602871129338,0.15169564602156346,0.007450231941429797,0.002900123701718993,0.5615836697332064,-0.8147076212
-0.8454357252005592,-0.6252999218730002,0.8456602870674648,0.15169564602156346,0.0053144680415411205,0.0021170903022544874,0.5615836697332064,-0.8147076212
-0.8454357252005591,-0.6252999218332507,0.8456602870674219,0.15169564602156346,0.0037221440989945176,0.0015454759206456892,0.5615836697332064,-0.8147076212
-0.8454357252005591,-0.6252999218332131,0.8456602870674219,0.15169564602156346,0.002572038117405029,0.0011281974220715973,0.5615836697332064,-0.8147076212
-0.8454357252005591,-0.625299921833213,0.8456602870674219,0.15169564602156346,0.0017602710647521835,0.0008235841181118975,0.5615836697332064,-0.8147076212
-0.8454357252005591,-0.625299921833213,0.8456602870674219,0.15169564602156346,0.0011966054493852685,0.000601216406221905,0.5615836697332064,-0.8147076212
-0.8454357252005591,-0.625299921833213,0.8456602870674219,0.15169564602156346,0.0008096503163819158,0.0004388879765417908,0.5615836697332064,-0.8147076212
-0.8454357252005591,-0.625299921833213,0.8456602870674219,0.15169564602156346,0.0005460829793493271,0.0003203882228755006,0.5615836697332064,-0.8147076212
-0.8454357252005591,-0.625299921833213,0.8456602870674219,0.15169564602156346,0.00036751779016275243,0.0002338834026991421,0.5615836697332064,-0.8147076212
-0.8454357252005591,-0.625299921833213,0.8456602870674219,0.15169564602156346,0.00024697971600784463,0.00017073488397056913,0.5615836697332064,-0.8147076212
-0.8454357252005591,-0.625299921833213,0.8456602870674219,0.15169564602156346,0.00016581155668915493,0.00012463646529847772,0.5615836697332064,-0.8147076212
-0.8454357252005591,-0.625299921833213,0.8456602870674219,0.15169564602156346,0.00011124470680368148,9.09846196677222e-05,0.5615836697332064,-0.8147076212
-0.8454357252005591,-0.625299921833213,0.8456602870674219,0.15169564602156346,7.460187720287337e-05,6.641877235735727e-05,0.5615836697332064,-0.8147076212
-0.8454357252005591,-0.625299921833213,0.8456602870674219,0.15169564602156346,5.0013795703129915e-05,4.8485703820766446e-05,0.5615836697332064,-0.8147076212
-0.8454357252005591,-0.625299921833213,0.8456602870674219,0.15169564602156346,3.352296579905989e-05,3.5394563789203914e-05,0.5615836697332064,-0.8147076212
-0.8454357252005591,-0.625299921833213,0.8456602870674219,0.15169564602156346,2.2466551466093776e-05,2.583803156608333e-05,0.5615836697332064,-0.8147076212
-0.8454357252005591,-0.625299921833213,0.8456602870674219,0.15169564602156346,1.5055357958315696e-05,1.8861763043220847e-05,0.5615836697332064,-0.8147076212
-0.8454357252005591,-0.625299921833213,0.8456602870674219,0.15169564602156346,1.0088332987878701e-05,1.3769087021664461e-05,0.5615836697332064,-0.8147076212
-0.8454357252005591,-0.625299921833213,0.8456602870674219,0.15169564602156346,6.759741270956354e-06,1.0051433525726239e-05,0.5615836697332064,-0.8147076212
-0.8454357252005591,-0.625299921833213,0.8456602870674219,0.15169564602156346,4.529277248588315e-06,7.3375464737512885e-06,0.5615836697332064,-0.8147076212
