Statistic,Simulated_Value,Target_Value
Mean,39062.2,39062.2
Median,30628.282750093917,32997.0
Gini,0.36348191038886046,0.323
S80/S20,2.6930163935165425,5.3
S90/S10,3.8785195380265343,9.2
S95/S5,6.696763136100632,17.3
Top10%_Share,28.683123507040303,24.6
Top5%_Share,20.438425541364367,
Top1%_Share,11.197326234723787,
